Order_ID,Order_Date,Item_Type,Outlet_Tier,Outlet_Size,Outlet_Establishment_Year,Sales,Rating
79,2019-06-11,Baking Goods,Tier 2,High,2014,1299.99,4.7
80,2019-07-21,Breads,Tier 2,High,2018,1395.69,4.6
81,2021-09-22,Breads,Tier 2,High,2010,682.77,4.9
82,2019-09-27,Breads,Tier 2,Small,2016,244.18,4.8
83,2021-03-26,Seafood,Tier 1,Medium,2014,256.54,4.9
84,2022-07-18,Frozen Foods,Tier 2,High,2018,1309.58,4.6
85,2020-03-31,Household,Tier 1,Small,2016,270.88,4.1
86,2022-06-29,Breads,Tier 1,Small,2014,1817.92,3.6
87,2021-10-13,Frozen Foods,Tier 2,High,2010,1422.54,3.6
88,2019-10-23,Snack Foods,Tier 2,Small,2014,491.1,4.7
89,2020-12-20,Breads,Tier 1,High,2014,594.46,3.8
90,2019-12-04,Baking Goods,Tier 3,High,2010,1434.45,4.0
91,2021-05-28,Dairy,Tier 2,High,2016,1657.03,4.4
92,2021-12-12,Soft Drinks,Tier 3,Medium,2014,1686.89,3.7
93,2021-03-02,Breads,Tier 1,Small,2010,1222.0,5.0
94,2019-08-05,Household,Tier 3,Medium,2016,352.7,4.7
95,2021-02-02,Dairy,Tier 1,High,2010,1645.8,4.4
96,2019-07-07,Baking Goods,Tier 3,Small,2012,1593.7,4.9
97,2020-01-15,Seafood,Tier 3,High,2016,1678.95,4.2
98,2020-05-07,Soft Drinks,Tier 3,Small,2012,357.44,4.8
99,2021-11-30,Seafood,Tier 1,High,2014,1384.5,4.7
100,2022-03-26,Household,Tier 1,Small,2014,1922.48,3.5
101,2019-01-15,Soft Drinks,Tier 1,High,2014,549.32,4.7
102,2019-03-06,Household,Tier 2,High,2016,1447.62,4.7
103,2020-06-04,Seafood,Tier 1,Medium,2018,554.89,4.0
104,2022-09-29,Baking Goods,Tier 2,Medium,2016,648.84,4.2
105,2022-02-26,Soft Drinks,Tier 1,Small,2016,996.27,3.7
106,2020-10-09,Meat,Tier 2,Small,2018,1795.16,4.5
107,2021-12-22,Frozen Foods,Tier 3,Medium,2016,125.39,4.5
108,2022-03-08,Baking Goods,Tier 3,High,2012,1979.8,5.0
109,2020-08-15,Soft Drinks,Tier 1,High,2018,1555.55,4.6
110,2020-01-27,Household,Tier 2,Small,2018,751.57,4.2
111,2020-02-23,Household,Tier 3,Small,2012,740.61,3.8
112,2019-10-16,Snack Foods,Tier 3,High,2018,991.81,4.7
113,2020-01-14,Baking Goods,Tier 2,Medium,2018,1757.18,4.0
114,2019-08-19,Household,Tier 1,Small,2012,84.94,4.9
115,2021-10-14,Fruits and Vegetables,Tier 3,High,2010,1119.09,3.9
116,2019-02-10,Frozen Foods,Tier 1,Small,2010,159.37,3.8
117,2021-11-17,Seafood,Tier 1,Medium,2010,275.42,4.4
118,2019-05-15,Dairy,Tier 2,Small,2012,1396.8,4.9
119,2019-07-20,Snack Foods,Tier 2,High,2014,506.9,3.7
120,2021-02-18,Household,Tier 3,Medium,2016,131.11,3.6
121,2021-07-18,Fruits and Vegetables,Tier 2,High,2018,370.26,5.0
122,2021-11-22,Snack Foods,Tier 3,Medium,2012,456.84,3.7
123,2021-12-07,Fruits and Vegetables,Tier 3,High,2016,1551.07,4.4
124,2020-05-17,Snack Foods,Tier 3,Small,2012,1268.6,3.8
125,2020-02-11,Household,Tier 1,Medium,2018,1483.49,3.8
126,2021-03-15,Fruits and Vegetables,Tier 1,Medium,2014,771.15,3.7
127,2019-04-09,Soft Drinks,Tier 2,Medium,2012,270.61,4.6
128,2020-11-14,Baking Goods,Tier 2,Small,2016,1620.32,4.6
129,2020-12-26,Dairy,Tier 3,Medium,2016,323.79,3.7
130,2021-08-18,Seafood,Tier 3,Small,2018,796.23,3.7
131,2020-09-04,Dairy,Tier 1,Small,2010,561.44,4.9
132,2020-10-04,Seafood,Tier 1,Medium,2018,628.24,4.4
133,2021-10-25,Meat,Tier 3,High,2018,1223.62,4.7
134,2022-05-26,Frozen Foods,Tier 3,Medium,2010,370.49,3.6
135,2020-05-17,Meat,Tier 2,High,2014,919.45,3.6
136,2021-02-05,Breads,Tier 3,High,2012,1295.44,4.1
137,2020-02-02,Household,Tier 3,Medium,2016,1744.38,4.3
138,2021-05-20,Soft Drinks,Tier 3,Medium,2012,773.89,4.1
139,2021-03-05,Baking Goods,Tier 1,High,2012,671.45,4.6
140,2020-01-28,Soft Drinks,Tier 1,Medium,2016,767.3,4.5
141,2019-07-26,Dairy,Tier 2,Medium,2010,1026.55,4.2
142,2021-11-04,Seafood,Tier 2,Small,2016,660.53,3.6
143,2021-06-10,Meat,Tier 2,High,2010,538.38,4.4
144,2021-05-13,Soft Drinks,Tier 3,Small,2010,781.84,3.9
145,2021-01-12,Meat,Tier 3,Medium,2018,1566.77,4.1
146,2022-06-18,Frozen Foods,Tier 1,Medium,2014,542.99,3.5
147,2020-07-17,Frozen Foods,Tier 3,Small,2018,1697.03,4.3
148,2021-10-17,Seafood,Tier 3,Small,2014,605.96,4.5
149,2019-04-06,Breads,Tier 1,Medium,2010,1226.0,4.4
150,2020-04-29,Soft Drinks,Tier 2,High,2018,1943.4,4.6
151,2022-12-01,Baking Goods,Tier 3,Small,2012,1906.0,5.0
152,2019-08-19,Meat,Tier 1,High,2016,897.53,4.4
153,2021-01-18,Meat,Tier 1,Medium,2016,181.66,3.8
154,2022-04-09,Frozen Foods,Tier 2,High,2016,1810.13,4.4
155,2020-06-24,Household,Tier 1,High,2014,297.49,3.9
156,2021-11-25,Seafood,Tier 2,Medium,2016,1850.92,4.0
157,2020-06-08,Meat,Tier 2,Medium,2014,1478.63,4.0
158,2022-03-29,Frozen Foods,Tier 2,Medium,2014,1871.77,4.3
159,2022-06-20,Frozen Foods,Tier 2,High,2014,1347.51,4.3
160,2022-01-14,Fruits and Vegetables,Tier 2,Small,2012,1990.47,4.5
161,2020-07-31,Meat,Tier 1,Medium,2010,960.65,4.2
162,2020-11-12,Fruits and Vegetables,Tier 3,Medium,2012,692.76,3.8
163,2020-07-10,Baking Goods,Tier 2,Small,2010,816.96,4.2
164,2021-10-09,Baking Goods,Tier 2,Medium,2012,733.06,4.7
165,2020-10-07,Frozen Foods,Tier 3,Medium,2014,831.55,4.6
166,2021-03-06,Household,Tier 3,Small,2010,1776.14,3.7
167,2021-11-17,Household,Tier 2,High,2016,1204.52,4.9
168,2022-09-25,Fruits and Vegetables,Tier 3,High,2012,1465.11,4.0
169,2022-09-16,Frozen Foods,Tier 2,High,2010,611.35,4.4
170,2022-10-03,Fruits and Vegetables,Tier 1,Medium,2016,1980.25,3.5
171,2022-06-08,Seafood,Tier 3,Small,2018,597.43,4.9
172,2019-07-09,Fruits and Vegetables,Tier 3,High,2014,360.1,4.5
173,2022-06-02,Breads,Tier 1,Small,2012,1567.48,3.9
174,2022-11-09,Meat,Tier 3,High,2012,1686.2,4.5
175,2022-11-01,Baking Goods,Tier 1,High,2018,817.9,3.9
176,2022-07-30,Snack Foods,Tier 2,Medium,2010,1105.09,3.9
177,2020-09-24,Frozen Foods,Tier 3,High,2012,857.55,4.2
178,2020-09-19,Household,Tier 3,High,2012,623.15,4.4
179,2021-08-30,Soft Drinks,Tier 1,Small,2012,1636.09,3.8
180,2022-07-06,Meat,Tier 2,Medium,2012,1526.22,4.6
181,2022-10-14,Snack Foods,Tier 2,Medium,2018,996.39,4.4
182,2020-12-10,Breads,Tier 1,High,2014,938.32,3.5
183,2022-12-05,Soft Drinks,Tier 3,Medium,2012,401.32,4.3
184,2020-10-10,Household,Tier 3,Small,2018,1292.68,4.1
185,2019-11-14,Breads,Tier 1,Medium,2016,1851.17,4.5
186,2022-06-02,Household,Tier 1,High,2012,1451.75,4.8
187,2022-06-11,Household,Tier 1,Medium,2010,1037.23,3.9
188,2020-11-14,Frozen Foods,Tier 3,Medium,2018,125.38,4.5
189,2020-10-25,Soft Drinks,Tier 1,High,2010,1864.05,3.7
190,2022-10-29,Seafood,Tier 2,Medium,2014,650.69,3.6
191,2022-06-10,Fruits and Vegetables,Tier 1,Medium,2016,634.91,4.9
192,2022-02-10,Fruits and Vegetables,Tier 2,High,2010,965.71,4.8
193,2020-03-17,Meat,Tier 2,High,2012,886.87,4.3
194,2020-07-17,Household,Tier 1,Small,2018,1926.58,3.7
195,2022-07-15,Meat,Tier 2,High,2016,371.76,3.9
196,2022-11-10,Soft Drinks,Tier 3,High,2018,1393.79,4.4
197,2022-11-11,Household,Tier 1,Medium,2016,258.19,4.5
198,2022-02-10,Household,Tier 3,High,2010,589.95,4.5
199,2021-08-09,Snack Foods,Tier 3,Medium,2014,1458.17,4.6
200,2022-01-09,Baking Goods,Tier 2,High,2018,1617.88,3.8
201,2020-11-29,Fruits and Vegetables,Tier 3,Small,2012,964.4,3.9
202,2019-04-23,Soft Drinks,Tier 3,Small,2018,1589.22,3.5
203,2019-01-02,Breads,Tier 1,Medium,2014,1873.5,3.6
204,2020-10-03,Breads,Tier 1,Medium,2010,1874.79,4.0
205,2019-08-08,Seafood,Tier 3,Medium,2012,717.83,3.8
206,2021-05-04,Dairy,Tier 2,Small,2012,658.67,4.2
207,2022-06-02,Soft Drinks,Tier 2,Small,2010,1466.57,4.8
208,2020-01-20,Dairy,Tier 1,High,2018,1325.48,4.6
209,2022-11-27,Snack Foods,Tier 1,High,2012,814.92,4.6
210,2022-02-27,Breads,Tier 1,Medium,2018,495.91,4.4
211,2021-12-12,Soft Drinks,Tier 2,Small,2018,1255.94,4.6
212,2020-12-30,Household,Tier 1,High,2010,888.97,3.8
213,2022-12-10,Baking Goods,Tier 3,Small,2014,307.62,4.3
214,2019-09-04,Frozen Foods,Tier 2,Small,2014,1296.54,4.4
215,2021-04-15,Baking Goods,Tier 3,Medium,2018,1410.47,4.4
216,2019-07-22,Seafood,Tier 1,Small,2010,760.25,4.7
217,2022-04-22,Breads,Tier 2,Medium,2014,1672.31,4.9
218,2019-05-03,Meat,Tier 1,High,2018,193.66,4.6
219,2020-02-05,Meat,Tier 2,Small,2012,1017.02,4.9
220,2021-02-05,Frozen Foods,Tier 1,Medium,2012,1914.85,4.3
221,2019-10-21,Breads,Tier 2,Small,2016,421.4,3.9
222,2019-10-07,Soft Drinks,Tier 2,Small,2016,386.03,4.5
223,2021-06-02,Household,Tier 2,High,2016,788.46,5.0
224,2019-07-17,Seafood,Tier 3,Medium,2014,572.76,4.6
225,2021-09-08,Meat,Tier 1,Small,2012,481.99,5.0
226,2021-01-21,Frozen Foods,Tier 1,Small,2012,1902.19,3.5
227,2019-05-24,Baking Goods,Tier 2,High,2014,722.45,3.9
228,2020-08-31,Household,Tier 3,Small,2012,166.68,3.9
229,2022-05-09,Meat,Tier 2,Medium,2012,1804.57,4.1
230,2022-02-21,Baking Goods,Tier 1,Medium,2018,924.08,3.5
231,2019-07-06,Soft Drinks,Tier 1,Medium,2012,1485.09,4.9
232,2022-09-11,Baking Goods,Tier 2,Small,2018,766.33,4.6
233,2020-04-08,Household,Tier 2,Small,2016,1873.58,3.6
234,2022-10-04,Baking Goods,Tier 2,Medium,2010,611.21,3.8
235,2020-10-21,Soft Drinks,Tier 1,Small,2018,1342.39,4.4
236,2021-02-02,Seafood,Tier 2,High,2012,1657.47,4.9
237,2021-08-12,Household,Tier 2,Medium,2016,513.97,3.6
238,2020-02-07,Seafood,Tier 1,High,2010,1612.95,4.1
239,2022-10-01,Frozen Foods,Tier 2,High,2010,1594.94,3.8
240,2019-05-27,Breads,Tier 3,Small,2016,1930.24,3.8
241,2022-03-17,Baking Goods,Tier 1,Small,2016,1849.48,4.6
242,2021-05-13,Snack Foods,Tier 2,Medium,2010,807.79,4.7
243,2020-05-03,Seafood,Tier 2,Small,2010,1201.56,4.9
244,2021-07-17,Soft Drinks,Tier 1,High,2012,1854.32,4.5
245,2020-07-04,Meat,Tier 1,Small,2018,58.53,3.6
246,2019-12-04,Seafood,Tier 3,Medium,2018,1273.33,4.0
247,2021-05-21,Meat,Tier 2,Small,2010,469.96,4.2
248,2020-10-02,Baking Goods,Tier 2,High,2010,1490.59,3.9
249,2020-04-17,Frozen Foods,Tier 2,High,2014,1603.12,4.3
250,2019-05-31,Fruits and Vegetables,Tier 1,Medium,2010,1440.27,3.8
251,2022-12-09,Household,Tier 1,Medium,2018,1992.35,4.8
252,2022-08-14,Meat,Tier 1,Small,2012,984.55,3.7
253,2019-09-20,Meat,Tier 2,Small,2014,1144.62,4.1
254,2019-05-24,Household,Tier 2,Medium,2018,847.54,3.7
255,2019-12-12,Fruits and Vegetables,Tier 1,High,2012,1949.27,4.0
256,2020-09-15,Baking Goods,Tier 3,Small,2014,1849.37,4.2
257,2021-10-13,Soft Drinks,Tier 2,Medium,2014,1973.94,4.3
258,2021-05-30,Breads,Tier 3,Medium,2014,1970.54,4.0
259,2019-01-02,Meat,Tier 1,High,2014,1796.14,4.7
260,2021-06-15,Fruits and Vegetables,Tier 2,Medium,2014,1865.21,4.3
261,2022-08-20,Fruits and Vegetables,Tier 3,Small,2014,283.77,5.0
262,2019-09-11,Frozen Foods,Tier 2,Small,2016,388.38,3.7
263,2020-03-28,Meat,Tier 3,Medium,2012,1776.12,3.8
264,2021-11-26,Seafood,Tier 2,Medium,2018,1467.26,4.7
265,2022-03-29,Baking Goods,Tier 3,High,2010,1756.23,4.3
266,2021-10-11,Soft Drinks,Tier 3,High,2018,1551.57,4.0
267,2019-01-09,Fruits and Vegetables,Tier 1,Medium,2016,322.19,4.1
268,2022-06-10,Frozen Foods,Tier 1,Small,2016,1837.3,4.3
269,2022-01-27,Frozen Foods,Tier 3,High,2014,1553.9,3.6
270,2021-03-26,Household,Tier 2,Medium,2016,1163.07,4.6
271,2019-07-27,Meat,Tier 3,High,2018,1088.11,4.2
272,2022-02-28,Fruits and Vegetables,Tier 2,High,2016,1168.91,4.1
273,2020-02-08,Soft Drinks,Tier 2,High,2018,811.31,4.7
274,2019-06-01,Seafood,Tier 2,High,2014,1616.28,4.4
275,2019-02-23,Snack Foods,Tier 2,High,2014,1822.58,4.6
276,2022-02-17,Snack Foods,Tier 1,High,2016,543.18,4.9
277,2020-09-19,Seafood,Tier 3,Small,2010,124.19,4.9
278,2020-08-09,Fruits and Vegetables,Tier 2,High,2014,445.71,4.1
279,2022-12-14,Meat,Tier 1,Medium,2012,1526.81,3.6
280,2022-12-16,Soft Drinks,Tier 2,Medium,2012,1743.38,3.5
281,2019-04-14,Household,Tier 2,High,2014,729.7,4.6
282,2019-09-11,Meat,Tier 1,High,2016,347.15,3.6
283,2022-06-04,Breads,Tier 1,Medium,2014,1724.14,4.1
284,2022-02-09,Meat,Tier 2,High,2016,468.55,4.5
285,2020-05-24,Meat,Tier 3,Medium,2018,521.65,5.0
286,2019-04-09,Baking Goods,Tier 1,Medium,2010,230.59,3.8
287,2019-06-02,Fruits and Vegetables,Tier 3,Small,2010,1825.13,3.5
288,2021-07-02,Household,Tier 2,Small,2018,687.11,3.6
289,2021-05-27,Baking Goods,Tier 2,Medium,2018,385.09,3.8
290,2019-12-04,Fruits and Vegetables,Tier 2,High,2018,1909.61,5.0
291,2021-04-01,Dairy,Tier 2,Medium,2010,704.26,3.6
292,2022-04-01,Household,Tier 2,Medium,2014,1507.6,4.6
293,2021-08-14,Fruits and Vegetables,Tier 2,High,2012,499.27,3.7
294,2019-06-10,Snack Foods,Tier 3,Small,2016,1467.31,3.8
295,2021-03-11,Baking Goods,Tier 1,Medium,2012,502.72,3.6
296,2020-02-02,Dairy,Tier 2,Small,2016,1293.59,3.8
297,2022-07-24,Household,Tier 1,High,2010,909.68,3.7
298,2021-03-26,Breads,Tier 3,Small,2014,1607.5,3.5
299,2022-11-16,Soft Drinks,Tier 2,High,2012,1474.03,4.7
300,2022-03-04,Breads,Tier 2,High,2018,1874.2,3.8
301,2022-05-03,Snack Foods,Tier 1,Small,2018,784.41,3.7
302,2020-02-05,Snack Foods,Tier 1,Medium,2018,1520.95,3.9
303,2020-10-01,Seafood,Tier 1,Medium,2012,1939.24,4.6
304,2021-11-22,Seafood,Tier 2,High,2014,705.8,3.8
305,2020-11-18,Breads,Tier 1,Small,2014,615.51,4.3
306,2020-04-04,Baking Goods,Tier 1,Small,2018,1549.65,3.8
307,2021-08-12,Meat,Tier 3,Small,2012,918.77,4.1
308,2020-04-14,Fruits and Vegetables,Tier 2,Small,2018,827.37,4.3
309,2022-10-30,Soft Drinks,Tier 2,High,2016,1113.94,4.6
310,2021-11-11,Dairy,Tier 2,Small,2016,1874.28,3.9
311,2021-01-19,Soft Drinks,Tier 1,Small,2012,213.51,4.2
312,2019-02-07,Snack Foods,Tier 3,Medium,2016,958.09,4.5
313,2019-08-18,Seafood,Tier 1,High,2010,264.77,3.9
314,2022-10-20,Meat,Tier 2,Small,2010,1772.99,3.8
315,2020-07-16,Frozen Foods,Tier 1,Small,2010,316.57,4.4
316,2020-03-13,Household,Tier 2,High,2016,224.92,4.9
317,2022-07-30,Frozen Foods,Tier 1,High,2014,1929.32,4.9
318,2019-01-27,Frozen Foods,Tier 1,Medium,2010,1148.52,4.4
319,2019-08-14,Baking Goods,Tier 2,High,2018,1660.49,4.1
320,2022-07-24,Baking Goods,Tier 1,Small,2014,967.0,4.3
321,2021-03-08,Seafood,Tier 2,Medium,2012,899.5,4.7
322,2019-10-11,Frozen Foods,Tier 1,Small,2016,1827.64,3.6
323,2021-05-28,Dairy,Tier 1,High,2018,1980.25,4.7
324,2021-08-17,Snack Foods,Tier 1,High,2012,1256.14,4.5
325,2020-03-28,Frozen Foods,Tier 2,High,2016,1840.47,3.9
326,2021-10-16,Meat,Tier 1,Medium,2016,1732.3,4.8
327,2021-03-26,Household,Tier 1,Small,2018,1110.82,3.6
328,2020-10-20,Fruits and Vegetables,Tier 3,Small,2016,1885.15,4.9
329,2020-06-30,Seafood,Tier 3,Medium,2016,459.61,4.1
330,2022-04-30,Seafood,Tier 2,High,2016,1775.45,4.7
331,2021-12-08,Breads,Tier 2,Small,2014,653.25,3.7
332,2019-01-17,Meat,Tier 2,High,2010,109.51,4.4
333,2022-04-10,Baking Goods,Tier 2,High,2018,1584.82,3.6
334,2022-05-28,Snack Foods,Tier 1,Small,2014,1863.53,3.9
335,2019-06-07,Dairy,Tier 1,High,2018,472.73,4.7
336,2020-04-21,Meat,Tier 2,Small,2014,1091.47,4.2
337,2021-12-05,Soft Drinks,Tier 2,Small,2016,1511.23,4.5
338,2022-10-28,Fruits and Vegetables,Tier 3,Medium,2016,696.67,4.7
339,2020-06-01,Household,Tier 2,Small,2014,336.49,4.3
340,2019-04-09,Breads,Tier 3,Medium,2016,814.88,4.4
341,2021-11-26,Meat,Tier 2,High,2010,940.31,4.6
342,2019-10-07,Breads,Tier 2,Medium,2018,1497.33,3.7
343,2022-10-04,Fruits and Vegetables,Tier 1,High,2016,437.43,3.6
344,2020-05-11,Frozen Foods,Tier 2,Medium,2012,1639.47,4.4
345,2019-10-29,Breads,Tier 3,High,2014,1029.25,5.0
346,2019-06-30,Seafood,Tier 1,Small,2014,1812.59,4.5
347,2020-08-29,Baking Goods,Tier 3,Medium,2016,1153.28,4.6
348,2022-01-27,Frozen Foods,Tier 2,Small,2014,921.37,4.5
349,2020-11-30,Meat,Tier 1,Small,2012,609.25,4.4
350,2021-09-19,Household,Tier 3,High,2014,257.17,3.8
351,2022-02-13,Seafood,Tier 2,High,2012,774.82,4.8
352,2019-07-10,Fruits and Vegetables,Tier 3,High,2014,856.57,4.4
353,2019-09-10,Frozen Foods,Tier 2,High,2014,1158.16,5.0
354,2021-09-07,Seafood,Tier 3,Medium,2012,1726.71,3.6
355,2021-07-16,Baking Goods,Tier 2,Small,2018,954.44,3.9
356,2022-03-30,Frozen Foods,Tier 3,High,2010,662.85,3.6
357,2022-07-03,Snack Foods,Tier 1,Small,2012,1752.85,4.8
358,2022-09-08,Snack Foods,Tier 2,Medium,2010,1481.14,4.7
359,2019-05-08,Frozen Foods,Tier 2,High,2014,648.71,4.7
360,2019-01-18,Frozen Foods,Tier 3,Medium,2018,375.54,4.5
361,2020-07-19,Snack Foods,Tier 2,Medium,2012,617.5,3.7
362,2020-07-23,Meat,Tier 1,Small,2018,291.09,4.1
363,2022-09-08,Breads,Tier 3,Small,2012,1811.66,4.6
364,2020-11-16,Household,Tier 3,Medium,2016,1242.87,4.0
365,2020-09-17,Seafood,Tier 3,Medium,2012,1733.85,4.6
366,2022-08-04,Seafood,Tier 1,High,2010,1649.7,3.9
367,2021-05-03,Fruits and Vegetables,Tier 1,Small,2016,348.81,4.3
368,2021-08-19,Household,Tier 2,Medium,2014,913.85,4.0
369,2019-06-04,Dairy,Tier 3,Medium,2012,1945.52,4.9
370,2020-05-04,Snack Foods,Tier 1,Small,2010,505.9,4.2
371,2022-11-10,Dairy,Tier 2,Medium,2014,147.97,3.9
372,2021-02-23,Baking Goods,Tier 1,High,2010,724.72,3.6
373,2022-02-01,Household,Tier 1,Medium,2014,1046.34,3.7
374,2022-11-17,Soft Drinks,Tier 1,Medium,2012,158.96,4.3
375,2019-09-03,Fruits and Vegetables,Tier 2,Small,2018,882.01,4.6
376,2022-04-14,Frozen Foods,Tier 1,Small,2014,544.15,4.9
377,2021-11-28,Baking Goods,Tier 1,High,2018,463.63,4.4
378,2021-01-28,Breads,Tier 1,Medium,2014,564.62,4.5
379,2020-06-21,Soft Drinks,Tier 3,High,2018,255.53,4.4
380,2021-07-09,Household,Tier 1,Medium,2012,199.46,4.9
381,2020-02-12,Household,Tier 3,Medium,2010,1211.9,4.0
382,2020-06-08,Dairy,Tier 1,Small,2012,1898.27,4.4
383,2021-04-07,Meat,Tier 3,High,2014,1619.24,4.9
384,2021-06-21,Dairy,Tier 1,Medium,2016,1676.1,3.5
385,2019-02-05,Seafood,Tier 3,Medium,2010,1483.41,3.9
386,2020-11-15,Dairy,Tier 3,Small,2018,1914.17,4.6
387,2019-01-20,Meat,Tier 3,Small,2010,1903.57,4.2
388,2019-11-17,Breads,Tier 1,Small,2010,1567.69,3.8
389,2020-05-26,Baking Goods,Tier 2,High,2012,1446.1,4.4
